year,material,top_1_producer,top_1_producer_share,top_1_producer_share_pct,top_3_producers,top_3_producer_share,top_3_producer_share_pct,hhi_concentration_index,producer_count,active_producer_count,world_total_production,unit,sum_producer_share,sum_producer_share_pct,share_coverage_flag,yoy_change_top3_share,yoy_change_top3_share_pp,has_other_countries_aggregate,has_source_reported_zero_rows,has_concentrate_labeled_rows,has_estimated_values,has_rounded_values,data_caveat_note
2020,cobalt,Congo (Kinshasa),0.6901408450704225,69.01408450704226,Congo (Kinshasa);Russia;Other countries,0.8073239436619718,80.73239436619718,4882.185429478279,13,13,142000.0,"metric tons, cobalt content",1.0017605633802817,100.17605633802818,ok,,,True,False,False,True,False,includes_other_countries_aggregate;includes_estimated_values
2021,cobalt,Congo (Kinshasa),0.7212121212121212,72.12121212121212,Congo (Kinshasa);Russia;Australia,0.8017878787878787,80.17878787878787,5275.311494582186,14,14,165000.0,"metric tons, cobalt content",0.9989454545454544,99.89454545454544,ok,-0.005536064874093083,-0.5536064874093083,True,False,False,True,False,includes_other_countries_aggregate;includes_estimated_values
2022,cobalt,Congo (Kinshasa),0.7309644670050761,73.09644670050761,Congo (Kinshasa);Indonesia;Russia,0.8263959390862944,82.63959390862944,5426.060398361204,13,13,197000.0,"metric tons, cobalt content",0.9996954314720811,99.9695431472081,ok,0.024608060298415668,2.460806029841567,True,False,False,True,False,includes_other_countries_aggregate;includes_estimated_values
2023,cobalt,Congo (Kinshasa),0.7352941176470589,73.52941176470588,Congo (Kinshasa);Indonesia;Russia,0.8516806722689075,85.16806722689076,5509.422533719371,13,13,238000.0,"metric tons, cobalt content",0.9998319327731092,99.98319327731092,ok,0.02528473318261315,2.528473318261315,True,False,False,True,False,includes_other_countries_aggregate;includes_estimated_values
2024,cobalt,Congo (Kinshasa),0.7586206896551724,75.86206896551724,Congo (Kinshasa);Indonesia;Russia,0.8851724137931034,88.51724137931033,5871.850178359097,13,13,290000.0,"metric tons, cobalt content",0.9937931034482758,99.37931034482757,ok,0.03349174152419587,3.3491741524195873,True,False,False,True,False,includes_other_countries_aggregate;includes_estimated_values
2020,lithium,Australia,0.4812121212121212,48.12121212121212,Australia;Chile;China,0.9030303030303031,90.30303030303031,3309.2398795224976,7,7,82500.0,"metric tons, lithium content",1.0010303030303032,100.10303030303032,ok,,,False,False,False,False,False,none
2021,lithium,Australia,0.516822429906542,51.6822429906542,Australia;Chile;China,0.9121495327102804,91.21495327102804,3576.578740501354,7,7,107000.0,"metric tons, lithium content",0.9988785046728972,99.88785046728972,ok,0.009119229679977359,0.9119229679977359,False,False,False,True,False,includes_estimated_values
2022,lithium,Australia,0.5116438356164383,51.16438356164383,Australia;Chile;China,0.9267123287671232,92.67123287671232,3559.143694877087,8,8,146000.0,"metric tons, lithium content",1.0030821917808217,100.30821917808217,ok,0.014562796056842742,1.4562796056842742,False,False,False,True,False,includes_estimated_values
2023,lithium,Australia,0.44950980392156864,44.950980392156865,Australia;Chile;China,0.8274509803921568,82.74509803921568,2820.8925653594774,9,9,204000.0,"metric tons, lithium content",0.9995588235294117,99.95588235294117,ok,-0.09926134837496636,-9.926134837496637,False,False,False,True,False,includes_estimated_values
2024,lithium,Australia,0.36666666666666664,36.666666666666664,Australia;Chile;China,0.7416666666666667,74.16666666666667,2215.264652777778,9,9,240000.0,"metric tons, lithium content",0.98075,98.075,ok,-0.08578431372549011,-8.578431372549012,False,False,False,True,False,includes_estimated_values
2020,manganese,South Africa,0.3439153439153439,34.39153439153439,South Africa;Australia;Gabon,0.6952380952380952,69.52380952380952,1906.8746115730241,17,16,18900.0,"thousand metric tons, manganese content",0.9984126984126984,99.84126984126985,ok,,,True,True,True,False,False,includes_other_countries_aggregate;includes_source_reported_zero_rows;includes_concentrate_labeled_rows
2021,manganese,South Africa,0.3582089552238806,35.82089552238806,South Africa;Gabon;Australia,0.736318407960199,73.6318407960199,2091.0679933665006,17,16,20100.0,"thousand metric tons, manganese content",0.9993034825870646,99.93034825870646,ok,0.04108031272210377,4.108031272210377,True,True,True,False,False,includes_other_countries_aggregate;includes_source_reported_zero_rows;includes_concentrate_labeled_rows
2022,manganese,South Africa,0.3686868686868687,36.868686868686865,South Africa;Gabon;Australia,0.758080808080808,75.8080808080808,2221.717503315988,17,16,19800.0,"thousand metric tons, manganese content",1.0156060606060606,101.56060606060606,ok,0.021762400120609038,2.176240012060904,True,True,True,False,False,includes_other_countries_aggregate;includes_source_reported_zero_rows;includes_concentrate_labeled_rows
2023,manganese,South Africa,0.37244897959183676,37.244897959183675,South Africa;Gabon;Australia,0.7474489795918368,74.74489795918367,2227.860735110371,11,10,19600.0,"thousand metric tons, manganese content",0.9977551020408164,99.77551020408164,ok,-0.010631828488971262,-1.0631828488971262,True,True,False,True,False,includes_other_countries_aggregate;includes_source_reported_zero_rows;includes_estimated_values
2024,manganese,South Africa,0.37,37.0,South Africa;Gabon;Australia,0.74,74.0,2200.0274999999997,11,10,20000.0,"thousand metric tons, manganese content",0.9924999999999999,99.25,ok,-0.0074489795918367685,-0.7448979591836768,True,True,False,True,False,includes_other_countries_aggregate;includes_source_reported_zero_rows;includes_estimated_values
2020,natural_graphite,China,0.7888198757763976,78.88198757763976,China;Brazil;Mozambique,0.8836438923395445,88.36438923395445,6292.183407704609,19,17,966000.0,metric tons,0.9992753623188406,99.92753623188406,ok,,,False,True,False,False,False,includes_source_reported_zero_rows
2021,natural_graphite,China,0.82,82.0,China;Brazil;Mozambique,0.9179999999999999,91.8,6798.544645999999,19,18,1000000.0,metric tons,1.0377600000000002,103.77600000000002,ok,0.03435610766045538,3.435610766045538,False,True,False,False,False,includes_source_reported_zero_rows
2022,natural_graphite,China,0.7202380952380952,72.02380952380952,China;Mozambique;Madagascar,0.8964285714285714,89.64285714285714,5368.067523030044,19,18,1680000.0,metric tons,0.9976011904761906,99.76011904761906,ok,-0.021571428571428575,-2.1571428571428575,False,True,False,True,False,includes_source_reported_zero_rows;includes_estimated_values
2023,natural_graphite,China,0.7908496732026143,79.08496732026144,China;Mozambique;Brazil,0.898235294117647,89.8235294117647,6336.798697082319,19,18,1530000.0,metric tons,1.0017777777777779,100.17777777777779,ok,0.0018067226890756682,0.18067226890756682,False,True,False,True,False,includes_source_reported_zero_rows;includes_estimated_values
2024,natural_graphite,China,0.79375,79.375,China;Madagascar;Mozambique,0.89625,89.625,6380.865776953125,19,18,1600000.0,metric tons,1.0191687499999997,101.91687499999998,ok,-0.0019852941176470296,-0.19852941176470296,False,True,False,True,False,includes_source_reported_zero_rows;includes_estimated_values
2020,nickel,Indonesia,0.3071713147410359,30.71713147410359,Indonesia;Other countries;Philippines,0.5888446215139442,58.88446215139442,1654.3996127045602,10,10,2510000.0,"metric tons, nickel content",1.0003187250996015,100.03187250996015,ok,,,True,False,False,False,False,includes_other_countries_aggregate
2021,nickel,Indonesia,0.38095238095238093,38.095238095238095,Indonesia;Other countries;Philippines,0.6798534798534799,67.98534798534799,2080.7787035918905,10,10,2730000.0,"metric tons, nickel content",1.0019780219780219,100.19780219780219,ok,0.09100885833953565,9.100885833953566,True,False,False,False,False,includes_other_countries_aggregate
2022,nickel,Indonesia,0.4831804281345566,48.318042813455655,Indonesia;Other countries;Philippines,0.7122324159021407,71.22324159021407,2743.440507252476,10,10,3270000.0,"metric tons, nickel content",0.9996941896024464,99.96941896024464,ok,0.03237893604866082,3.2378936048660822,True,False,False,True,False,includes_other_countries_aggregate;includes_estimated_values
2023,nickel,Indonesia,0.5413333333333333,54.13333333333333,Indonesia;Philippines;Other countries,0.7421333333333333,74.21333333333334,3251.775466666667,10,10,3750000.0,"metric tons, nickel content",0.9994933333333333,99.94933333333333,ok,0.02990091743119261,2.990091743119261,True,False,False,True,False,includes_other_countries_aggregate;includes_estimated_values
2024,nickel,Indonesia,0.5945945945945946,59.45945945945946,Indonesia;Philippines;Other countries,0.7648648648648648,76.48648648648648,3771.8721694667643,10,10,3700000.0,"metric tons, nickel content",0.9878378378378379,98.78378378378379,ok,0.022731531531531513,2.2731531531531513,True,False,False,True,False,includes_other_countries_aggregate;includes_estimated_values
